country,season_name,product,crop_production_system,planting_month,harvest_month,planting_year,harvest_year
Ethiopia,Meher,Maize,none,5,1,0,0
Ethiopia,Meher,Mango,none,5,1,0,0
Ethiopia,Meher,Millet,none,5,1,0,0
Ethiopia,Meher,Mung bean,none,5,1,0,0
Ethiopia,Meher,Neug,none,5,1,0,0
Ethiopia,Meher,Oats,none,5,1,0,0
Ethiopia,Meher,Onions,none,5,1,0,0
Ethiopia,Meher,Orange,none,5,1,0,0
Ethiopia,Meher,Papaya,none,5,1,0,0
Ethiopia,Meher,Pineapple,none,5,1,0,0
Ethiopia,Meher,Potato,none,5,1,0,0
Ethiopia,Meher,Rape,none,5,1,0,0
Ethiopia,Meher,Rice,none,5,1,0,0
Ethiopia,Meher,Safflower Seed,none,5,1,0,0
Ethiopia,Meher,Sesame Seed,none,5,1,0,0
Ethiopia,Meher,Sorghum,none,5,1,0,0
Ethiopia,Meher,Soybean,none,5,1,0,0
Ethiopia,Meher,Sugarcane,none,5,1,0,0
Ethiopia,Meher,Sunflower Seed,none,5,1,0,0
Ethiopia,Meher,Sweet Potatoes,none,5,1,0,0
Ethiopia,Meher,Swiss Chard,none,5,1,0,0
Ethiopia,Meher,Taro/Cocoyam,none,5,1,0,0
Ethiopia,Meher,Teff,none,5,1,0,0
Ethiopia,Meher,Tomato,none,5,1,0,0
Ethiopia,Meher,Vetch,none,5,1,0,0
Ethiopia,Meher,Wheat,none,5,1,0,0
Ethiopia,Meher,Yams,none,5,1,0,0
Ethiopia,Meher,Coffee (unspecified),none,5,1,0,0
Ethiopia,Meher,Chili pepper (Unspecified),none,5,1,0,0
Ethiopia,Meher,Hops,none,5,1,0,0
Ethiopia,Meher,Hot red pepper,none,5,1,0,0
Togo,Main,Maize,All (PS),5,11,0,0
Togo,Main,Millet,All (PS),5,11,0,0
Togo,Main,Rice,All (PS),5,11,0,0
Togo,Main,Sorghum,All (PS),5,11,0,0
